﻿no,height,weight,top,chest,shoulder,arm,neck,ntk,waist,ass,bottom,thighs,gender,age
F932,168.1,56.6,56.6,85.1,36.7,55.1,36.2,95.9,76.2,86.1,103.2,46.7,M,58
F933,159.1,60.3,60.3,93.2,35.7,49.8,37.1,96,82.7,90.8,94.1,46.6,M,67
F934,165,67.8,67.8,91.8,33.6,54.2,39.1,96,88.7,91.4,102.6,51.6,M,78
F935,162.1,61.2,61.2,90.6,39.1,52.5,35.7,99.6,76.3,88.5,98.4,52.4,M,66
F936,182.4,75.6,75.6,90.7,39.4,58.8,38.7,103.9,85.5,93.8,111.6,51.8,M,64
F937,168.5,68.4,68.4,95.4,37.6,54.3,37.3,98.4,82.7,94.5,101,53.6,M,57
F938,171.5,69,69,93.1,38.6,56.9,38.8,99.2,87.7,93.3,105.6,51.6,M,75
F939,163.7,73.4,73.4,100.6,40,52.1,40.6,98.1,91.5,95.7,97.5,56.3,M,54
F940,172.5,72.3,72.3,94.3,38.2,56.3,38.7,100.3,87.5,95.3,106.1,53.3,M,41
F941,167.9,70.4,70.4,90.4,40.1,54.3,39.4,101.4,84.5,92.8,102.4,55.2,M,58
F942,179.3,76.1,76.1,100.4,38.8,57.8,38.8,101.5,86.4,97.6,108.9,53.4,M,61
F943,163.3,71.9,71.9,93.2,37.6,53,38.9,96.9,89.7,96.8,99.8,58.2,M,66
F944,177.7,80.9,80.9,98.2,40.3,56.4,39.8,103.4,87.1,97.8,108.4,55.4,M,52
F945,184,76.2,76.2,98.4,39.1,60.9,39.5,105.8,81.1,93.2,114.1,54.9,M,43
F946,164.9,62.4,62.4,90.4,38.7,52.2,37.2,96.8,76.4,88.8,98.7,50.9,M,63
F947,174,81.2,81.2,94.9,41.2,55.2,41.5,101.2,89.6,99.7,105.8,57.7,M,52
F948,169.7,78.3,78.3,98.8,41.8,57.3,37.2,96.4,88.1,96.5,107.5,57.2,M,55
F949,159.9,54,54,79.8,35.5,50,32.8,92.4,71.7,85.7,99.1,48.4,M,73
F950,174.5,90,90,99.6,41.6,57.5,39.7,101.2,98.4,105.7,107.3,61,M,59
F951,161.8,54.6,54.6,84.2,38.6,53.2,35.2,92.7,79,88.2,99.8,44.4,M,75
F952,163.1,73.9,73.9,96.4,39.3,53.4,39.5,95.1,93,95.2,96.7,54.5,M,73
F953,168,64.2,64.2,91.9,38.6,51.8,35.5,98.6,89.2,92.4,103.8,49.7,M,79
F954,155.8,59.4,59.4,90.3,36,51.7,36.3,90.1,85.2,90,93.8,48.6,M,73
F955,175.2,65.6,65.6,92.7,41.1,54.4,35.4,100.7,81.8,92.3,105.8,48,M,73
F956,169.6,76.8,76.8,57.1,40.5,53.8,37.8,97.2,91.6,94.3,102.7,54.2,M,63
F957,167.3,69.3,69.3,93,39.3,52.2,35.3,96.7,84,96,103.7,52,M,69
F958,162.1,46.9,46.9,81.3,36.2,50.3,32.4,94.1,74.8,82.5,93,39.5,M,77
F959,169.6,67.1,67.1,92.7,38.6,54.7,38.1,99.1,86.6,94.1,104.8,48,M,67
F960,159.5,66.7,66.7,93.1,35.5,51.6,37.4,92.6,89.7,91.6,94.3,49.8,M,67
F961,169.9,74.8,74.8,91.5,38.3,54.8,37.3,98.7,98.7,97.4,103.9,55.3,M,72
F962,164.2,64.7,64.7,86.9,34.3,51.3,36.9,95,85.7,90,101.9,50.4,M,67
F963,168.8,80.9,80.9,100.7,37.4,54,35.7,97.3,98,102.9,102.7,63.7,M,27
F964,168.5,68.6,68.6,92.9,38.4,51,35.4,97.7,79.8,92.5,99.3,53.9,M,60
F965,170.5,56,56,84.3,38.2,57.8,33.4,99.4,69.7,83.2,106.5,47.6,M,26
F966,180.1,80.9,80.9,94.5,40.8,56.6,39,102.6,80,100.4,111.3,59.3,M,27
F967,177.2,73.9,73.9,95.2,40.2,56.7,35.4,102.9,86.3,96.2,108.2,53.3,M,59
F968,173.4,65.1,65.1,92,40.1,56.2,35.6,101,81.5,91.5,105.7,47.5,M,58
F969,165.1,67.8,67.8,94.2,36.3,53.3,36.3,94.4,89,90.6,99.7,50.5,M,60
F970,170.2,82.5,82.5,98.1,37.3,55,37.4,98.7,94.5,102.6,107.1,61.1,M,62
F971,165.4,65.9,65.9,92.4,37.5,53.9,35.3,97.4,83.6,89.8,101.7,53.4,M,58
